"","Hash","C1.T7.H9_S2","C1.T8.H10_S2","C2.T8.H18_S2","C2.T9.H19_S2","C3.T6.H25_S2","C3.T7.H26_S2","CT1.T1.H28_S2","CT1.T2.H29_S2","CT1.T3.H30_S2","CT1.T4.H31_S2","CT1.T5.H32_S2","CT1.T6.H33_S2","CT1.T7.H34_S2","CT1.T8.H35_S2","CT2.T1.H36_S2","CT2.T4.H39_S2","CT2.T8.H43_S2"
"120","19c19b5103a96b62e7346aae19fa59eb251f49b1",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","19e12fb7011c14e598199dfada60903d6ec6b472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","19e2d8924e99f1a60555875f40f2f4abbcb91b22",0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","1a08bb6d37d7924e5dab4c0408f64896eacb991a",0,0,853,0,0,0,0,96,0,0,0,0,0,0,0,0,0
"124","1a59880170e670ad1be39f25001324d25ff89ae2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","1a79dda84fc8aff040773f05b084efdafb466201",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"126","1a84e6f2aa276f5d18ad36aee37777543f9245cd",0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0
"127","1ab3bca392087a2194bf40e8c0e37d000a0a7081",0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","1b030090d520143c835377004f3ec1399afff672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0
"129","1b87f6ab5dde1685ef3bb1c8c3f1738610f32ed9",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"130","1bb0fc6e4276a8ec6e708d2564ac87f045e66d78",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"131","1bf55849fae2226f067c3f25c66c3cb9d01ad2f2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"132","1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",0,0,17,45,0,0,0,0,0,0,0,0,50,68,0,276,12
"133","1c5909bc0e73301371f77fc355ee5eadb83d034d",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"134","1c7aee32d52c5a25d862a3e148b6cf04ab8f88da",0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","1cc216c1f027b21949c9586aa75ace4ff13e7285",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"136","1ce309e4db3f0f96de86e79c08e629ad39e50c68",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","1cf733024604d4d23958b1a18ed6e60cfef785c4",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"138","1cf7d7dfd3e884ebdb3d585212f01108d6b09442",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"139","1da7e2f4ed7d558f00c4c72c92ece401bb19692e",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"140","1da9dc29d5832bb4022e894cbce86897df521a33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","1dab2f7ad7e9b19ff2bdc48b66844f7080e59bdc",0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
"142","1db1b49185d0d4cf20f888eb9992b256f76a4651",0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","1dbdecd2d878e60fddb0e0c6e63a25506d6affc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"144","1e70cef5e5f09e0e64d907238c12dc0e1d4a54c7",0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"145","1e823715b95b2e76d7b69608b26072704c7c2ef1",1,0,50,22,20,0,0,0,0,0,0,0,0,0,0,0,0
"146","1e8a8291966c172ef539251c5aad9dbd72bde6ed",0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0
"147","1ed97b47bdbfcb19642c3e80a0b434f9d52f9094",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"148","1ef111d246ce25b6e32dbe1036711e2e9190c0ac",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"149","1f756189737391fa69f17b84f3b9ce4f53feaeab",0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0
"150","1f86a7d09c6ce07ce3c31bed9d48ceaa7336cd24",0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0
"151","1fb857205357fb77b9acef3e5e958356abc2cc4f",0,0,0,0,0,0,0,0,0,0,4410,130,0,0,0,0,0
"152","1fd0cca87a452616bd107a2dba731bf07d51aeef",0,0,0,2897,0,0,0,0,0,0,0,0,0,454,0,718,0
"153","1fe5a46564f64b2ae782819cf5d474b30ff6604f",0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
"154","20078076a01ab063d9353bf1e0b2591a8f4ff452",0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
"155","2010a621a13cf49374bf4c950a42175421a652b0",0,0,541,181,0,0,159,0,0,0,0,0,0,0,0,230,0
"156","2045f2081cd13c5e839e84ba1812fa91df96768b",0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
"157","207114b11583026b14531339aeff5641dd94caec",0,0,130,0,183,0,140,249,0,0,131,0,0,0,0,0,0
"158","20b4811da07af12840699b671807210695555c66",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"159","20da868e0f7bbbdeeea3f49504226e0be794d49d",0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0
"160","210c5cae1a8a68254d483d7af92e7e9b26043269",0,0,0,0,0,9,0,143,0,0,0,405,0,0,0,0,0
"161","212f6b8cc6e210e2539d4e34dcccad8ec71ab8e7",0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
"162","2138ac4c57175eca19c26b7d43a34dbe1547b8f9",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","21c4daa796010821fcdc035ee97bb1188fdc8025",0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,84
"164","21c6554bbc76899d5f9c5a28306b9ca2bb59e388",0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0
"165","21c949c0c188bc6789316060dfb81b96dbec6ca3",0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
"166","21ed13fe3ace8060314f604c98eb7b593d0e6ba2",1056,0,3792,166,379,0,3254,901,0,0,1366,0,0,115,0,0,0
"167","22378dae7c3962c6b409aaf1fb23f8d660628051",0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","22a08c5e70237fc985f9c3c59d43669ab257cae2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0
"169","22b408f95bed71e330f22c29cc2766145e4cdde7",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","22fb8943b148faa6fbba198a6894aa731540f0c7",0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0
