"","X","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"93",93,"seq_27_Calanoida.Pleuromamma.fa735",NA,NA,NA,NA,0.0102285293033542,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"94",94,"seq_19_Calanoida.Calanus helgolandicus.894f7",NA,NA,NA,NA,0.00606680003479168,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"95",95,"seq_4_Calanoida.Eucalanus californicus.247f0",NA,NA,NA,NA,0.0048925806732191,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"96",96,"seq_10_Calanoida.Metridia pacifica.3a466",NA,NA,NA,NA,0.00450117421936157,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"97",97,"seq_10_Calanoida.Metridia pacifica.3a466",NA,NA,NA,NA,0.00377810541835606,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"98",98,"seq_11_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.00319648603983648,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"99",99,"seq_17_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.00197877707227973,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"100",100,"seq_22_Calanoida.Pleuromamma.a32d2",NA,NA,NA,NA,0.00113072975558841,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"101",101,"seq_21_Calanoida.Calanus.9b9f6",NA,NA,NA,NA,0.00100026093763591,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"102",102,"seq_23_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.000826302513699226,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"103",103,"seq_25_Calanoida..e01f9",NA,NA,NA,NA,0.000652344089762547,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"104",104,"seq_28_Calanoida..ff62c",NA,NA,NA,NA,0.000608854483778377,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"105",105,"seq_18_Calanoida.Calanus helgolandicus.78f54",NA,NA,NA,NA,0.000413151256849613,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"106",106,"seq_14_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.000282682438897104,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"107",107,"seq_8_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.000217448029920849,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"108",108,"seq_1_Calanoida.Rhincalanus.1784e",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"109",109,"seq_1_Calanoida.Rhincalanus.1784e",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"110",110,"seq_2_Calanoida.Rhincalanus.1c13e",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"111",111,"seq_2_Calanoida.Rhincalanus.1c13e",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"112",112,"seq_3_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"113",113,"seq_3_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"114",114,"seq_4_Calanoida.Eucalanus californicus.247f0",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"115",115,"seq_5_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"116",116,"seq_5_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"117",117,"seq_7_Calanoida.Calanus helgolandicus.341d3",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
