"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"104","Lambda","clr_Calanidae","cycle_num",0.123228596696262,0.14925438092699,0.161596793956664,0.161762410754578,0.174283962186754,0.20144805660834,"C5_C7_S3_18S","C5","S3","18S",1,4
"105","Lambda","clr_Clausocalanidae","cycle_num",-0.137200354233337,-0.0839683212299292,-0.0570107374478764,-0.057256350550239,-0.0309626389128217,0.0221237965392387,"C5_C7_S3_18S","C5","S3","18S",1,4
"106","Lambda","clr_Eucalanidae","cycle_num",-0.154523130548953,-0.0945884731348971,-0.0656220077661315,-0.0658042329293555,-0.036467511017118,0.0210390620270811,"C5_C7_S3_18S","C5","S3","18S",1,4
"107","Lambda","clr_Euphausiidae","cycle_num",0.0734237119165382,0.0975613324667679,0.10920701496671,0.109148264401706,0.120793689280412,0.144108873859892,"C5_C7_S3_18S","C5","S3","18S",1,4
"108","Lambda","clr_Metridinidae","cycle_num",-0.0456015017281311,0.0209568544327896,0.0525361111430618,0.052927422080483,0.0853690568711814,0.150281639232072,"C5_C7_S3_18S","C5","S3","18S",1,4
"109","Lambda","clr_Paracalanidae","cycle_num",-0.180768561575585,-0.127685766996357,-0.103747708318718,-0.10417682207996,-0.0796465633726145,-0.0318582897477888,"C5_C7_S3_18S","C5","S3","18S",1,4
"110","Lambda","clr_Rhincalanidae","cycle_num",0.00849084481656942,0.0448179073859397,0.0635542032241171,0.0634141471200938,0.0816000306333513,0.118418098332673,"C5_C7_S3_18S","C5","S3","18S",1,4
"111","Lambda","clr_Salpidae","cycle_num",-0.209747443260783,-0.14451806888309,-0.112814811799615,-0.113525960923555,-0.08194862529338,-0.0194955002979703,"C5_C7_S3_18S","C5","S3","18S",1,4
"112","Lambda","clr_other","cycle_num",-0.165790455343569,-0.084418858393615,-0.0458885548594864,-0.0464888778737504,-0.00810930469289023,0.0700803465094551,"C5_C7_S3_18S","C5","S3","18S",1,4
"113","Lambda","clr_Calanidae","cycle_num",0.0488403489073068,0.0741531364338541,0.086707465365143,0.0868320760932313,0.0995925685830159,0.124870085826388,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"114","Lambda","clr_Clausocalanidae","cycle_num",0.038649329286773,0.066327397904708,0.0803196389616181,0.0805172598391567,0.0945448329662562,0.122429352247782,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"115","Lambda","clr_Eucalanidae","cycle_num",-0.196064200430675,-0.167776006369044,-0.153399333120321,-0.153533343170314,-0.139205822679749,-0.110996233800999,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"116","Lambda","clr_Euphausiidae","cycle_num",-0.00269211744493407,0.0245036162653936,0.0386692229989371,0.0383318375147045,0.0522750127964469,0.0788232305528443,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"117","Lambda","clr_Metridinidae","cycle_num",0.101094510922414,0.122798575270215,0.134460366439805,0.134368417982488,0.145814959735558,0.167927772315209,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"118","Lambda","clr_Oithonidae","cycle_num",-0.120715991616669,-0.0840862009304442,-0.066088378010008,-0.0659921179905529,-0.0472088472770176,-0.0128349951822909,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"119","Lambda","clr_Paracalanidae","cycle_num",0.00508631677397818,0.0267583350258486,0.0376385239331712,0.0376328046175295,0.0484442848189138,0.0702283819585445,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"120","Lambda","clr_Rhincalanidae","cycle_num",-0.0671038009894296,-0.0326981137354726,-0.0153287366145633,-0.0151698451034661,0.00280472136953197,0.0358158234509915,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"121","Lambda","clr_Salpidae","cycle_num",-0.286540967888951,-0.222138207546539,-0.189985125652827,-0.19019262758623,-0.157797253017172,-0.0960063062619997,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"122","Lambda","clr_other","cycle_num",-0.0668141859840764,-0.0199190501651224,0.00402943039993535,0.00393174503344431,0.0280054011287909,0.0743314469816917,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"123","Lambda","clr_unidentified Calanoida","cycle_num",0.0224544483782001,0.0362650941351367,0.0431176903260546,0.0432737927700094,0.050259356100388,0.064797385002559,"AllandSub_S1_18S","AllandSub","S1","18S",0.2,5
"124","Lambda","clr_Calanidae","cycle_num",0.0848256775585893,0.113536721088554,0.12857248428768,0.128533712601554,0.143473189665749,0.172309862214865,"AllandSub_S2_18S","AllandSub","S2","18S",0.5,5
"125","Lambda","clr_Clausocalanidae","cycle_num",-0.0359898731121005,-0.000312913439744822,0.017984278143744,0.0178207683574933,0.0357585714956263,0.0721010537224343,"AllandSub_S2_18S","AllandSub","S2","18S",0.5,5
"126","Lambda","clr_Eucalanidae","cycle_num",-0.131739738487934,-0.109089452722179,-0.0978787197919822,-0.0975836047197269,-0.0857295620409841,-0.0628224111605774,"AllandSub_S2_18S","AllandSub","S2","18S",0.5,5
"127","Lambda","clr_Euphausiidae","cycle_num",0.00741754647013249,0.0425262587596168,0.0606816640107767,0.0605892187628609,0.0787101384218996,0.113268878343503,"AllandSub_S2_18S","AllandSub","S2","18S",0.5,5
"128","Lambda","clr_Metridinidae","cycle_num",0.105004724715232,0.129157842850323,0.141908146012846,0.141730546319061,0.154364077242907,0.177964563515159,"AllandSub_S2_18S","AllandSub","S2","18S",0.5,5
